    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
     14.30,      63.99919,      27.27487,     0.0003788,     0.0014477,     0.0009018,     0.0003373,     0.0001377,     0.0000511,     0.0000198
     14.40,      64.00086,      27.43803,     0.0003811,     0.0014478,     0.0009019,     0.0003373,     0.0001377,     0.0000511,     0.0000198
     14.50,      63.99919,      27.59736,     0.0003833,     0.0014481,     0.0009020,     0.0003374,     0.0001377,     0.0000511,     0.0000198
     14.60,      64.00031,      27.75304,     0.0003855,     0.0014484,     0.0009022,     0.0003375,     0.0001377,     0.0000511,     0.0000198
     14.70,      63.99974,      27.90528,     0.0003876,     0.0014488,     0.0009025,     0.0003376,     0.0001378,     0.0000511,     0.0000198
     14.80,      63.99974,      28.05427,     0.0003896,     0.0014493,     0.0009028,     0.0003377,     0.0001378,     0.0000512,     0.0000199
     14.90,      64.00086,      28.20015,     0.0003917,     0.0014500,     0.0009032,     0.0003378,     0.0001379,     0.0000512,     0.0000199
     15.00,      63.99974,      28.34311,     0.0003936,     0.0014507,     0.0009036,     0.0003380,     0.0001380,     0.0000512,     0.0000199
     15.10,      63.99974,      28.48327,     0.0003956,     0.0014515,     0.0009041,     0.0003382,     0.0001380,     0.0000512,     0.0000199
     15.20,      63.99974,      28.62077,     0.0003975,     0.0014524,     0.0009047,     0.0003384,     0.0001381,     0.0000513,     0.0000199
     15.30,      64.00086,      28.75575,     0.0003994,     0.0014534,     0.0009053,     0.0003386,     0.0001382,     0.0000513,     0.0000199
     15.40,      63.99974,      28.88832,     0.0004012,     0.0014545,     0.0009060,     0.0003389,     0.0001383,     0.0000513,     0.0000199
     15.50,      63.99974,      29.01859,     0.0004030,     0.0014556,     0.0009067,     0.0003392,     0.0001384,     0.0000514,     0.0000199
     15.60,      63.99974,      29.14666,     0.0004048,     0.0014568,     0.0009074,     0.0003394,     0.0001385,     0.0000514,     0.0000200
     15.70,      64.00086,      29.27262,     0.0004066,     0.0014581,     0.0009082,     0.0003397,     0.0001387,     0.0000515,     0.0000200
     15.80,      63.99974,      29.39656,     0.0004083,     0.0014594,     0.0009091,     0.0003400,     0.0001388,     0.0000515,     0.0000200
     15.90,      63.99974,      29.51856,     0.0004100,     0.0014608,     0.0009099,     0.0003404,     0.0001389,     0.0000516,     0.0000200
     16.00,      63.99974,      29.63871,     0.0004116,     0.0014622,     0.0009108,     0.0003407,     0.0001391,     0.0000516,     0.0000200
     16.10,      64.00086,      29.75707,     0.0004133,     0.0014637,     0.0009118,     0.0003410,     0.0001392,     0.0000517,     0.0000201
     16.20,      63.99974,      29.87370,     0.0004149,     0.0014653,     0.0009127,     0.0003414,     0.0001393,     0.0000517,     0.0000201
     16.30,      63.99974,      29.98868,     0.0004165,     0.0014669,     0.0009137,     0.0003418,     0.0001395,     0.0000518,     0.0000201
     16.40,      63.99974,      30.10206,     0.0004181,     0.0014685,     0.0009147,     0.0003422,     0.0001397,     0.0000518,     0.0000201
     16.50,      63.99974,      30.21389,     0.0004196,     0.0014701,     0.0009158,     0.0003425,     0.0001398,     0.0000519,     0.0000201
     16.60,      64.00086,      30.32422,     0.0004212,     0.0014719,     0.0009168,     0.0003429,     0.0001400,     0.0000520,     0.0000202
     16.70,      63.99974,      30.43312,     0.0004227,     0.0014736,     0.0009179,     0.0003433,     0.0001401,     0.0000520,     0.0000202
     16.80,      63.99974,      30.54060,     0.0004242,     0.0014754,     0.0009190,     0.0003438,     0.0001403,     0.0000521,     0.0000202
     16.90,      63.99974,      30.64673,     0.0004256,     0.0014771,     0.0009201,     0.0003442,     0.0001405,     0.0000521,     0.0000202
